test 10 epoch, 0.05 eta, 16 batch 
Donnees validation : 0 : tensor([0.8931], device='cuda:0')
Donnees validation : 1 : tensor([0.9187], device='cuda:0')
Donnees validation : 2 : tensor([0.9344], device='cuda:0')
Donnees validation : 3 : tensor([0.9404], device='cuda:0')
Donnees validation : 4 : tensor([0.9460], device='cuda:0')
Donnees validation : 5 : tensor([0.9506], device='cuda:0')
Donnees validation : 6 : tensor([0.9522], device='cuda:0')
Donnees validation : 7 : tensor([0.9540], device='cuda:0')
Donnees validation : 8 : tensor([0.9575], device='cuda:0')
Donnees validation : 9 : tensor([0.9586], device='cuda:0')
Hidden layers : [100, 100] : tensor([0.9617], device='cuda:0')

Donnees validation : 0 : tensor([0.8927], device='cuda:0')
Donnees validation : 1 : tensor([0.9215], device='cuda:0')
Donnees validation : 2 : tensor([0.9352], device='cuda:0')
Donnees validation : 3 : tensor([0.9456], device='cuda:0')
Donnees validation : 4 : tensor([0.9516], device='cuda:0')
Donnees validation : 5 : tensor([0.9554], device='cuda:0')
Donnees validation : 6 : tensor([0.9578], device='cuda:0')
Donnees validation : 7 : tensor([0.9610], device='cuda:0')
Donnees validation : 8 : tensor([0.9623], device='cuda:0')
Donnees validation : 9 : tensor([0.9655], device='cuda:0')
Hidden layers : [300, 100] : tensor([0.9686], device='cuda:0')

Donnees validation : 0 : tensor([0.8976], device='cuda:0')
Donnees validation : 1 : tensor([0.9266], device='cuda:0')
Donnees validation : 2 : tensor([0.9409], device='cuda:0')
Donnees validation : 3 : tensor([0.9468], device='cuda:0')
Donnees validation : 4 : tensor([0.9525], device='cuda:0')
Donnees validation : 5 : tensor([0.9571], device='cuda:0')
Donnees validation : 6 : tensor([0.9599], device='cuda:0')
Donnees validation : 7 : tensor([0.9608], device='cuda:0')
Donnees validation : 8 : tensor([0.9622], device='cuda:0')
Donnees validation : 9 : tensor([0.9637], device='cuda:0')
Hidden layers : [300, 300] : tensor([0.9691], device='cuda:0')

Donnees validation : 0 : tensor([0.8985], device='cuda:0')
Donnees validation : 1 : tensor([0.9244], device='cuda:0')
Donnees validation : 2 : tensor([0.9399], device='cuda:0')
Donnees validation : 3 : tensor([0.9466], device='cuda:0')
Donnees validation : 4 : tensor([0.9533], device='cuda:0')
