batch_size  : 1
Donnees validation : 0 : tensor([0.3023], device='cuda:0')
Donnees validation : 1 : tensor([0.2588], device='cuda:0')
Donnees validation : 2 : tensor([0.1090], device='cuda:0')
Donnees validation : 3 : tensor([0.0916], device='cuda:0')
Donnees validation : 4 : tensor([0.0997], device='cuda:0')
Donnees validation : 5 : tensor([0.1130], device='cuda:0')
Donnees validation : 6 : tensor([0.1008], device='cuda:0')
Donnees validation : 7 : tensor([0.1130], device='cuda:0')
Donnees validation : 8 : tensor([0.0958], device='cuda:0')
Donnees validation : 9 : tensor([0.0916], device='cuda:0')
Donnees test : tensor([0.0911], device='cuda:0')

batch_size  : 8
Donnees validation : 0 : tensor([0.9651], device='cuda:0')
Donnees validation : 1 : tensor([0.9713], device='cuda:0')
Donnees validation : 2 : tensor([0.9757], device='cuda:0')
Donnees validation : 3 : tensor([0.9772], device='cuda:0')
Donnees validation : 4 : tensor([0.9792], device='cuda:0')
Donnees validation : 5 : tensor([0.9794], device='cuda:0')
Donnees validation : 6 : tensor([0.9798], device='cuda:0')
Donnees validation : 7 : tensor([0.9799], device='cuda:0')
Donnees validation : 8 : tensor([0.9804], device='cuda:0')
Donnees validation : 9 : tensor([0.9810], device='cuda:0')
Donnees test : tensor([0.9834], device='cuda:0')

batch_size  : 16
Donnees validation : 0 : tensor([0.9607], device='cuda:0')
Donnees validation : 1 : tensor([0.9681], device='cuda:0')
Donnees validation : 2 : tensor([0.9719], device='cuda:0')
Donnees validation : 3 : tensor([0.9748], device='cuda:0')
Donnees validation : 4 : tensor([0.9748], device='cuda:0')
Donnees validation : 5 : tensor([0.9777], device='cuda:0')
Donnees validation : 6 : tensor([0.9774], device='cuda:0')
Donnees validation : 7 : tensor([0.9787], device='cuda:0')
Donnees validation : 8 : tensor([0.9802], device='cuda:0')
Donnees validation : 9 : tensor([0.9804], device='cuda:0')
Donnees test : tensor([0.9829], device='cuda:0')

batch_size  : 32
Donnees validation : 0 : tensor([0.9530], device='cuda:0')
Donnees validation : 1 : tensor([0.9628], device='cuda:0')
Donnees validation : 2 : tensor([0.9660], device='cuda:0')
Donnees validation : 3 : tensor([0.9689], device='cuda:0')
Donnees validation : 4 : tensor([0.9713], device='cuda:0')
Donnees validation : 5 : tensor([0.9734], device='cuda:0')
Donnees validation : 6 : tensor([0.9732], device='cuda:0')
Donnees validation : 7 : tensor([0.9748], device='cuda:0')
Donnees validation : 8 : tensor([0.9756], device='cuda:0')
Donnees validation : 9 : tensor([0.9767], device='cuda:0')
Donnees test : tensor([0.9789], device='cuda:0')

batch_size  : 64
Donnees validation : 0 : tensor([0.9392], device='cuda:0')
Donnees validation : 1 : tensor([0.9525], device='cuda:0')
Donnees validation : 2 : tensor([0.9589], device='cuda:0')
Donnees validation : 3 : tensor([0.9609], device='cuda:0')
Donnees validation : 4 : tensor([0.9652], device='cuda:0')
Donnees validation : 5 : tensor([0.9690], device='cuda:0')
Donnees validation : 6 : tensor([0.9710], device='cuda:0')
Donnees validation : 7 : tensor([0.9713], device='cuda:0')
Donnees validation : 8 : tensor([0.9734], device='cuda:0')
Donnees validation : 9 : tensor([0.9736], device='cuda:0')
Donnees test : tensor([0.9777], device='cuda:0')

batch_size  : 128
Donnees validation : 0 : tensor([0.9206], device='cuda:0')
Donnees validation : 1 : tensor([0.9387], device='cuda:0')
Donnees validation : 2 : tensor([0.9494], device='cuda:0')
Donnees validation : 3 : tensor([0.9534], device='cuda:0')
Donnees validation : 4 : tensor([0.9563], device='cuda:0')
Donnees validation : 5 : tensor([0.9590], device='cuda:0')
Donnees validation : 6 : tensor([0.9615], device='cuda:0')
Donnees validation : 7 : tensor([0.9639], device='cuda:0')
Donnees validation : 8 : tensor([0.9637], device='cuda:0')
Donnees validation : 9 : tensor([0.9671], device='cuda:0')
Donnees test : tensor([0.9723], device='cuda:0')

Meilleur resultat :tensor([0.9834], device='cuda:0') avec 8
