eta =  : 0.005
Donnees validation : 0 : tensor([0.6223], device='cuda:0')
Donnees validation : 1 : tensor([0.7309], device='cuda:0')
Donnees validation : 2 : tensor([0.7740], device='cuda:0')
Donnees validation : 3 : tensor([0.7969], device='cuda:0')
Donnees validation : 4 : tensor([0.8122], device='cuda:0')
Donnees validation : 5 : tensor([0.8279], device='cuda:0')
Donnees validation : 6 : tensor([0.8357], device='cuda:0')
Donnees validation : 7 : tensor([0.8427], device='cuda:0')
Donnees validation : 8 : tensor([0.8491], device='cuda:0')
Donnees validation : 9 : tensor([0.8538], device='cuda:0')
Donnees test : tensor([0.8554], device='cuda:0')

eta =  : 0.01
Donnees validation : 0 : tensor([0.7203], device='cuda:0')
Donnees validation : 1 : tensor([0.7910], device='cuda:0')
Donnees validation : 2 : tensor([0.8207], device='cuda:0')
Donnees validation : 3 : tensor([0.8371], device='cuda:0')
Donnees validation : 4 : tensor([0.8491], device='cuda:0')
Donnees validation : 5 : tensor([0.8594], device='cuda:0')
Donnees validation : 6 : tensor([0.8661], device='cuda:0')
Donnees validation : 7 : tensor([0.8719], device='cuda:0')
Donnees validation : 8 : tensor([0.8787], device='cuda:0')
Donnees validation : 9 : tensor([0.8833], device='cuda:0')
Donnees test : tensor([0.8867], device='cuda:0')

eta =  : 0.05
Donnees validation : 0 : tensor([0.8546], device='cuda:0')
Donnees validation : 1 : tensor([0.8872], device='cuda:0')
Donnees validation : 2 : tensor([0.9047], device='cuda:0')
Donnees validation : 3 : tensor([0.9150], device='cuda:0')
Donnees validation : 4 : tensor([0.9221], device='cuda:0')
Donnees validation : 5 : tensor([0.9263], device='cuda:0')
Donnees validation : 6 : tensor([0.9313], device='cuda:0')
Donnees validation : 7 : tensor([0.9341], device='cuda:0')
Donnees validation : 8 : tensor([0.9371], device='cuda:0')
Donnees validation : 9 : tensor([0.9401], device='cuda:0')
Donnees test : tensor([0.9419], device='cuda:0')

eta =  : 0.1
Donnees validation : 0 : tensor([0.8871], device='cuda:0')
Donnees validation : 1 : tensor([0.9160], device='cuda:0')
Donnees validation : 2 : tensor([0.9275], device='cuda:0')
Donnees validation : 3 : tensor([0.9358], device='cuda:0')
Donnees validation : 4 : tensor([0.9412], device='cuda:0')
Donnees validation : 5 : tensor([0.9446], device='cuda:0')
Donnees validation : 6 : tensor([0.9479], device='cuda:0')
Donnees validation : 7 : tensor([0.9496], device='cuda:0')
Donnees validation : 8 : tensor([0.9520], device='cuda:0')
Donnees validation : 9 : tensor([0.9542], device='cuda:0')
Donnees test : tensor([0.9574], device='cuda:0')

eta =  : 0.5
Donnees validation : 0 : tensor([0.9383], device='cuda:0')
Donnees validation : 1 : tensor([0.9523], device='cuda:0')
Donnees validation : 2 : tensor([0.9599], device='cuda:0')
Donnees validation : 3 : tensor([0.9621], device='cuda:0')
Donnees validation : 4 : tensor([0.9645], device='cuda:0')
Donnees validation : 5 : tensor([0.9680], device='cuda:0')
Donnees validation : 6 : tensor([0.9687], device='cuda:0')
Donnees validation : 7 : tensor([0.9706], device='cuda:0')
Donnees validation : 8 : tensor([0.9713], device='cuda:0')
Donnees validation : 9 : tensor([0.9724], device='cuda:0')
Donnees test : tensor([0.9753], device='cuda:0')

Meilleur resultat :tensor([0.9753], device='cuda:0') avec 0.5
