nbEpochs  : 10
Donnees validation : 0 : tensor([0.9639], device='cuda:0')
Donnees validation : 1 : tensor([0.9694], device='cuda:0')
Donnees validation : 2 : tensor([0.9751], device='cuda:0')
Donnees validation : 3 : tensor([0.9779], device='cuda:0')
Donnees validation : 4 : tensor([0.9787], device='cuda:0')
Donnees validation : 5 : tensor([0.9781], device='cuda:0')
Donnees validation : 6 : tensor([0.9792], device='cuda:0')
Donnees validation : 7 : tensor([0.9808], device='cuda:0')
Donnees validation : 8 : tensor([0.9792], device='cuda:0')
Donnees validation : 9 : tensor([0.9817], device='cuda:0')
Donnees test : tensor([0.9831], device='cuda:0')

nbEpochs  : 15
Donnees validation : 0 : tensor([0.9638], device='cuda:0')
Donnees validation : 1 : tensor([0.9734], device='cuda:0')
Donnees validation : 2 : tensor([0.9761], device='cuda:0')
Donnees validation : 3 : tensor([0.9767], device='cuda:0')
Donnees validation : 4 : tensor([0.9774], device='cuda:0')
Donnees validation : 5 : tensor([0.9804], device='cuda:0')
Donnees validation : 6 : tensor([0.9791], device='cuda:0')
Donnees validation : 7 : tensor([0.9810], device='cuda:0')
Donnees validation : 8 : tensor([0.9802], device='cuda:0')
Donnees validation : 9 : tensor([0.9802], device='cuda:0')
Donnees validation : 10 : tensor([0.9807], device='cuda:0')
Donnees validation : 11 : tensor([0.9804], device='cuda:0')
Donnees validation : 12 : tensor([0.9813], device='cuda:0')
Donnees validation : 13 : tensor([0.9806], device='cuda:0')
Donnees validation : 14 : tensor([0.9797], device='cuda:0')
Donnees test : tensor([0.9836], device='cuda:0')

nbEpochs  : 20
Donnees validation : 0 : tensor([0.9652], device='cuda:0')
Donnees validation : 1 : tensor([0.9716], device='cuda:0')
Donnees validation : 2 : tensor([0.9760], device='cuda:0')
Donnees validation : 3 : tensor([0.9778], device='cuda:0')
Donnees validation : 4 : tensor([0.9786], device='cuda:0')
Donnees validation : 5 : tensor([0.9787], device='cuda:0')
Donnees validation : 6 : tensor([0.9800], device='cuda:0')
Donnees validation : 7 : tensor([0.9806], device='cuda:0')
Donnees validation : 8 : tensor([0.9811], device='cuda:0')
Donnees validation : 9 : tensor([0.9796], device='cuda:0')
Donnees validation : 10 : tensor([0.9816], device='cuda:0')
Donnees validation : 11 : tensor([0.9811], device='cuda:0')
Donnees validation : 12 : tensor([0.9806], device='cuda:0')
Donnees validation : 13 : tensor([0.9825], device='cuda:0')
Donnees validation : 14 : tensor([0.9817], device='cuda:0')
Donnees validation : 15 : tensor([0.9817], device='cuda:0')
Donnees validation : 16 : tensor([0.9813], device='cuda:0')
Donnees validation : 17 : tensor([0.9805], device='cuda:0')
Donnees validation : 18 : tensor([0.9807], device='cuda:0')
Donnees validation : 19 : tensor([0.9820], device='cuda:0')
Donnees test : tensor([0.9829], device='cuda:0')

