nbNeurones  : 100
Donnees validation : 0 : tensor([0.9275], device='cuda:0')
Donnees validation : 1 : tensor([0.9452], device='cuda:0')
Donnees validation : 2 : tensor([0.9512], device='cuda:0')
Donnees validation : 3 : tensor([0.9557], device='cuda:0')
Donnees validation : 4 : tensor([0.9580], device='cuda:0')
Donnees validation : 5 : tensor([0.9596], device='cuda:0')
Donnees validation : 6 : tensor([0.9594], device='cuda:0')
Donnees validation : 7 : tensor([0.9622], device='cuda:0')
Donnees validation : 8 : tensor([0.9637], device='cuda:0')
Donnees validation : 9 : tensor([0.9652], device='cuda:0')
Donnees test : tensor([0.9691], device='cuda:0')

nbNeurones  : 200
Donnees validation : 0 : tensor([0.9383], device='cuda:0')
Donnees validation : 1 : tensor([0.9504], device='cuda:0')
Donnees validation : 2 : tensor([0.9551], device='cuda:0')
Donnees validation : 3 : tensor([0.9580], device='cuda:0')
Donnees validation : 4 : tensor([0.9618], device='cuda:0')
Donnees validation : 5 : tensor([0.9648], device='cuda:0')
Donnees validation : 6 : tensor([0.9661], device='cuda:0')
Donnees validation : 7 : tensor([0.9679], device='cuda:0')
Donnees validation : 8 : tensor([0.9689], device='cuda:0')
Donnees validation : 9 : tensor([0.9698], device='cuda:0')
Donnees test : tensor([0.9746], device='cuda:0')

nbNeurones  : 300
Donnees validation : 0 : tensor([0.9367], device='cuda:0')
Donnees validation : 1 : tensor([0.9487], device='cuda:0')
Donnees validation : 2 : tensor([0.9578], device='cuda:0')
Donnees validation : 3 : tensor([0.9618], device='cuda:0')
Donnees validation : 4 : tensor([0.9640], device='cuda:0')
Donnees validation : 5 : tensor([0.9660], device='cuda:0')
Donnees validation : 6 : tensor([0.9686], device='cuda:0')
Donnees validation : 7 : tensor([0.9694], device='cuda:0')
Donnees validation : 8 : tensor([0.9713], device='cuda:0')
Donnees validation : 9 : tensor([0.9716], device='cuda:0')
Donnees test : tensor([0.9749], device='cuda:0')

nbNeurones  : 400
Donnees validation : 0 : tensor([0.9387], device='cuda:0')
Donnees validation : 1 : tensor([0.9538], device='cuda:0')
Donnees validation : 2 : tensor([0.9585], device='cuda:0')
Donnees validation : 3 : tensor([0.9643], device='cuda:0')
Donnees validation : 4 : tensor([0.9670], device='cuda:0')
Donnees validation : 5 : tensor([0.9689], device='cuda:0')
Donnees validation : 6 : tensor([0.9702], device='cuda:0')
Donnees validation : 7 : tensor([0.9719], device='cuda:0')
Donnees validation : 8 : tensor([0.9715], device='cuda:0')
Donnees validation : 9 : tensor([0.9734], device='cuda:0')
Donnees test : tensor([0.9783], device='cuda:0')

nbNeurones  : 500
Donnees validation : 0 : tensor([0.9408], device='cuda:0')
Donnees validation : 1 : tensor([0.9553], device='cuda:0')
Donnees validation : 2 : tensor([0.9591], device='cuda:0')
Donnees validation : 3 : tensor([0.9629], device='cuda:0')
Donnees validation : 4 : tensor([0.9664], device='cuda:0')
Donnees validation : 5 : tensor([0.9690], device='cuda:0')
Donnees validation : 6 : tensor([0.9711], device='cuda:0')
Donnees validation : 7 : tensor([0.9709], device='cuda:0')
Donnees validation : 8 : tensor([0.9715], device='cuda:0')
Donnees validation : 9 : tensor([0.9726], device='cuda:0')
Donnees test : tensor([0.9771], device='cuda:0')

Meilleur resultat :tensor([0.9783], device='cuda:0') avec 400

Affinage 1: 
nbNeurones  : 350
Donnees validation : 0 : tensor([0.9368], device='cuda:0')
Donnees validation : 1 : tensor([0.9530], device='cuda:0')
Donnees validation : 2 : tensor([0.9577], device='cuda:0')
Donnees validation : 3 : tensor([0.9620], device='cuda:0')
Donnees validation : 4 : tensor([0.9669], device='cuda:0')
Donnees validation : 5 : tensor([0.9682], device='cuda:0')
Donnees validation : 6 : tensor([0.9696], device='cuda:0')
Donnees validation : 7 : tensor([0.9708], device='cuda:0')
Donnees validation : 8 : tensor([0.9711], device='cuda:0')
Donnees validation : 9 : tensor([0.9711], device='cuda:0')
Donnees test : tensor([0.9764], device='cuda:0')

nbNeurones  : 400
Donnees validation : 0 : tensor([0.9356], device='cuda:0')
Donnees validation : 1 : tensor([0.9532], device='cuda:0')
Donnees validation : 2 : tensor([0.9584], device='cuda:0')
Donnees validation : 3 : tensor([0.9635], device='cuda:0')
Donnees validation : 4 : tensor([0.9659], device='cuda:0')
Donnees validation : 5 : tensor([0.9686], device='cuda:0')
Donnees validation : 6 : tensor([0.9706], device='cuda:0')
Donnees validation : 7 : tensor([0.9705], device='cuda:0')
Donnees validation : 8 : tensor([0.9726], device='cuda:0')
Donnees validation : 9 : tensor([0.9737], device='cuda:0')
Donnees test : tensor([0.9769], device='cuda:0')

nbNeurones  : 450
Donnees validation : 0 : tensor([0.9388], device='cuda:0')
Donnees validation : 1 : tensor([0.9544], device='cuda:0')
Donnees validation : 2 : tensor([0.9590], device='cuda:0')
Donnees validation : 3 : tensor([0.9609], device='cuda:0')
Donnees validation : 4 : tensor([0.9652], device='cuda:0')
Donnees validation : 5 : tensor([0.9676], device='cuda:0')
Donnees validation : 6 : tensor([0.9705], device='cuda:0')
Donnees validation : 7 : tensor([0.9704], device='cuda:0')
Donnees validation : 8 : tensor([0.9731], device='cuda:0')
Donnees validation : 9 : tensor([0.9739], device='cuda:0')
Donnees test : tensor([0.9761], device='cuda:0')

Meilleur resultat :tensor([0.9769], device='cuda:0') avec 400

Affinage 2:nbNeurones  : 350
Donnees validation : 0 : tensor([0.9399], device='cuda:0')
Donnees validation : 1 : tensor([0.9532], device='cuda:0')
Donnees validation : 2 : tensor([0.9596], device='cuda:0')
Donnees validation : 3 : tensor([0.9655], device='cuda:0')
Donnees validation : 4 : tensor([0.9664], device='cuda:0')
Donnees validation : 5 : tensor([0.9671], device='cuda:0')
Donnees validation : 6 : tensor([0.9698], device='cuda:0')
Donnees validation : 7 : tensor([0.9715], device='cuda:0')
Donnees validation : 8 : tensor([0.9724], device='cuda:0')
Donnees validation : 9 : tensor([0.9725], device='cuda:0')
Donnees test : tensor([0.9770], device='cuda:0')

nbNeurones  : 360
Donnees validation : 0 : tensor([0.9395], device='cuda:0')
Donnees validation : 1 : tensor([0.9529], device='cuda:0')
Donnees validation : 2 : tensor([0.9598], device='cuda:0')
Donnees validation : 3 : tensor([0.9625], device='cuda:0')
Donnees validation : 4 : tensor([0.9664], device='cuda:0')
Donnees validation : 5 : tensor([0.9667], device='cuda:0')
Donnees validation : 6 : tensor([0.9684], device='cuda:0')
Donnees validation : 7 : tensor([0.9703], device='cuda:0')
Donnees validation : 8 : tensor([0.9721], device='cuda:0')
Donnees validation : 9 : tensor([0.9721], device='cuda:0')
Donnees test : tensor([0.9769], device='cuda:0')

nbNeurones  : 370
Donnees validation : 0 : tensor([0.9390], device='cuda:0')
Donnees validation : 1 : tensor([0.9533], device='cuda:0')
Donnees validation : 2 : tensor([0.9602], device='cuda:0')
Donnees validation : 3 : tensor([0.9623], device='cuda:0')
Donnees validation : 4 : tensor([0.9662], device='cuda:0')
